"","Post","Entity","Position","Type","message"
"947","1715","$","57","Money","RT @ConceptUW : Hey, #UWaterloo! What would you do with $5,000 ?? to help move your #business idea forward? Applications for the Winter 2021 #Concept5K Grant are now open!??Visit https://t.co/e46rwg6S7g to learn more about the #pitchcompetition and submit your online application by Feb 21! https://t.co/myAxNH1HtE"
"948","1717","Yimin Wu","27","Person","When #UWaterloo professor Yimin Wu set his sights on finding a solution that would impact both sustainable energy and #climatechange, he turned to nature for his inspiration. ??

Learn more about Wu's research: https://t.co/vEWkPSVxuy @WaterlooENG https://t.co/mUtyuigYFa"
"949","1719","Research Universities","75","Organization","We are honoured to be featured in @R_Infosource as one of Canada's Top 50 Research Universities! ???? #UWaterloo #UWaterlooProud https://t.co/8NjVG2ND2w"
"950","1719","Canada","59","Location","We are honoured to be featured in @R_Infosource as one of Canada's Top 50 Research Universities! ???? #UWaterloo #UWaterlooProud https://t.co/8NjVG2ND2w"
"951","172","Today","21","Date","RT @UWaterlooPres : Today on #HolocaustRemembranceDay, we honour and remember the more than six million murdered Jewish people, their families, survivors and other victims of the atrocities of the Holocaust. We must reaffirm our commitment to combat antisemitism, racism, and all forms of hate. https://t.co/sJcy2LpW5n"
"952","1722","Global","96","Organization","RT @UW_Wellness : We're launching a new workshop series called Managing Personal Wellness in a Global Pandemic.There are 3 workshops that can help you cope with the challenges of living in historic times, see our website to learn more: https://t.co/qmAEYB5KT0

#uwaterloo #uwaterloowellness https://t.co/CgizjnQRqL"
"953","1726","UWaterlooNews","143","Person","What do we know now about #COVID19 that we didn’t know one year ago? #UWaterloo professor Zahid Butt answers this question, and more, in our #UWaterlooNews Q and A. Read more below ?? https://t.co/iX1IvLsAJ0"
"954","1726","Q","157","Person","What do we know now about #COVID19 that we didn’t know one year ago? #UWaterloo professor Zahid Butt answers this question, and more, in our #UWaterlooNews Q and A. Read more below ?? https://t.co/iX1IvLsAJ0"
"955","1726","one year ago","56","Date","What do we know now about #COVID19 that we didn’t know one year ago? #UWaterloo professor Zahid Butt answers this question, and more, in our #UWaterlooNews Q and A. Read more below ?? https://t.co/iX1IvLsAJ0"
"956","1727","Monday","8","Date","Happy #Monday, Warriors. Have a great week! ???? https://t.co/mfK6P4wzA9"
"957","1736","Congrats Owen","15","Person","@WlooWarriors Congrats Owen! ??"
"958","1740","Mary Wells","6","Person","With Mary Wells, Dean of @WaterlooENG, and @j4shah, a successful #UWaterloo alum, we remember Pearl Sullivan, dean emeritus, and reflect on the contributions she made and her dedication to students in our new @uwdailybulletin podcast. 

Learn more: https://t.co/bumdmqYTNy https://t.co/S2aM67ozaS"
"959","1740","Dean","18","Person","With Mary Wells, Dean of @WaterlooENG, and @j4shah, a successful #UWaterloo alum, we remember Pearl Sullivan, dean emeritus, and reflect on the contributions she made and her dedication to students in our new @uwdailybulletin podcast. 

Learn more: https://t.co/bumdmqYTNy https://t.co/S2aM67ozaS"
"960","1740","Pearl Sullivan","95","Location","With Mary Wells, Dean of @WaterlooENG, and @j4shah, a successful #UWaterloo alum, we remember Pearl Sullivan, dean emeritus, and reflect on the contributions she made and her dedication to students in our new @uwdailybulletin podcast. 

Learn more: https://t.co/bumdmqYTNy https://t.co/S2aM67ozaS"
"961","1742","Don Livermore","28","Person","RT @uwaterlooalumni : Meet Don Livermore (BSc ’95), the mastermind behind Canada’s most-loved whisky brands. Learn how whisky is made and how to create your own custom brand: https://t.co/TYkQXf2Jx7 

#UWaterlooAlumni #UWaterloo @CDNWhiskyDoc @WaterlooSci"
"962","1744","Friday","7","Date","#HappyFriday, Warriors! You made it through the week. To celebrate, here is a picture of a dog wearing a @WlooWarriors hoodie. ???? https://t.co/wEIW7Ya2W0"
"963","1746","today","183","Date","RT @UWaterlooPres : Thank you to our wonderful panel of @UWaterloo alumni experts @LianeDavey, @tjdemello, and Barb Sweazey, and @UWEconDept Professor @mikalskuterud for speaking at today's very interesting Humans and Work event. Outstanding insights! https://t.co/tLbJoIiaAr"
"964","1747","Wendy Adair","119","Person","RT @uwaterlooARTS : Finding it hard to connect with your coworkers? New research from @UWaterloo psychology professor Wendy Adair found employees find it harder to build relationships online than in person.

But there are two things we can do about that ?? https://t.co/wE6ZLTfILO"
"965","1749","://t.co/YgF9aY728R","236","Date","#UWaterloo and @QuantumIQC is honoured to be featured as one of the top ten quantum tech universities and research institutions in the world by @QuantumDaily. 

Read more: https://t.co/c7b1Y3oGPd #QuantumComputing #UWaterlooProud https://t.co/YgF9aY728R"
"966","175","Waterloo School of Architecture","19","Organization","A suggestion by a Waterloo School of Architecture professor, Robert Jan van Pelt to build a synagogue at the site of the largest single massacre of Jews during the #Holocaust has developed into a unique place visited by people of all faiths.

https://t.co/qYzQfhV2Ot |@WaterlooENG https://t.co/n5GTgiUt2C"
"967","175","Robert Jan van Pelt","62","Person","A suggestion by a Waterloo School of Architecture professor, Robert Jan van Pelt to build a synagogue at the site of the largest single massacre of Jews during the #Holocaust has developed into a unique place visited by people of all faiths.

https://t.co/qYzQfhV2Ot |@WaterlooENG https://t.co/n5GTgiUt2C"
"968","175","Jews","149","Location","A suggestion by a Waterloo School of Architecture professor, Robert Jan van Pelt to build a synagogue at the site of the largest single massacre of Jews during the #Holocaust has developed into a unique place visited by people of all faiths.

https://t.co/qYzQfhV2Ot |@WaterlooENG https://t.co/n5GTgiUt2C"
"969","1750","Shana Macdonald","133","Person","RT @UWaterlooNews : Is there a “safe” amount of time to spend online reading news and on social media? ??

@uwaterlooARTS professor Shana Macdonald, a social media expert, answers these questions and more in our Q and A: https://t.co/w3bEFoTKXk #UWaterloo #UWaterlooNews https://t.co/h2T0zLIltt"
"970","1751","NationalHugDay Warriors","131","Person","RT @WlooWarriors : When we can do this again, there’s no doubt we will all be squeezing a little tighter each time we do!

Happy #NationalHugDay Warriors??????

A time will soon come when we can all hug it out again! https://t.co/8YlVAH83io"
"971","1755","Undergraduate Studies","125","Organization","RT @WaterlooENG : Learn more about Management Engineering at @UWaterloo from Fatma Gzara, Professor and Associate Chair for Undergraduate Studies in the Department of Management Sciences, Lecturer Ada Hurst, and current students. https://t.co/EWPgwQZPGL"
"972","1755","Department of Management Sciences","154","Organization","RT @WaterlooENG : Learn more about Management Engineering at @UWaterloo from Fatma Gzara, Professor and Associate Chair for Undergraduate Studies in the Department of Management Sciences, Lecturer Ada Hurst, and current students. https://t.co/EWPgwQZPGL"
"973","1756","Comoro Islands","142","Location",".@UWFrenchStudies PhD candidate Sushma Dusowoth's research focuses on giving a voice to voiceless women, mainly those from the Mauritius and Comoro Islands. Her research delves into the hardship these women face while struggling for their rights: https://t.co/IYSPEA8nVo https://t.co/hg1iLIroqr"
"974","1759","Institute","130","Organization","To help people understand the science, the risks and the solutions to #climatechange, @climatechangeUW in partnership with @GamesInstitute is launching Illuminate, a virtual simulation to simplify and explore climate solutions. ??

Read more: https://t.co/OaH7tZixJ1 #UWaterloo https://t.co/rpUb7IvOPt"
"975","176","Heather Hall","52","Person","RT @ONtrainandstudy : [1/2] Congratulations to Dr. Heather Hall, an Asst. Professor at @UWaterloo, who received a Minister’s Award of Excellence in the category of #EverydayHeroes https://t.co/bQpAU7mHNY"
"976","1761","Amazing","19","Organization","RT @WaterlooSci : Amazing news for Professor Donna Strickland... #39 on @macleans list of influential Canadians!

#UWaterlooProud #UWaterlooSci https://t.co/Oh3BtfB7Bu"
"977","1763","Ellen Cameron","93","Person","Although many associate cyanobacteria with bright green algae seen on the surface of lakes, Ellen Cameron, PhD Candidate @WaterlooBio, is using DNA sequencing to study cyanobacteria communities in low-nutrient, clear lakes in Northern Ontario: https://t.co/KHY3TXMQKm #UWaterloo https://t.co/35z6SJ7UBK"
"978","1763","PhD Candidate","108","Person","Although many associate cyanobacteria with bright green algae seen on the surface of lakes, Ellen Cameron, PhD Candidate @WaterlooBio, is using DNA sequencing to study cyanobacteria communities in low-nutrient, clear lakes in Northern Ontario: https://t.co/KHY3TXMQKm #UWaterloo https://t.co/35z6SJ7UBK"
"979","1763","://t.co/35z6SJ7UBK","285","Date","Although many associate cyanobacteria with bright green algae seen on the surface of lakes, Ellen Cameron, PhD Candidate @WaterlooBio, is using DNA sequencing to study cyanobacteria communities in low-nutrient, clear lakes in Northern Ontario: https://t.co/KHY3TXMQKm #UWaterloo https://t.co/35z6SJ7UBK"
"980","1763","Northern Ontario","227","Location","Although many associate cyanobacteria with bright green algae seen on the surface of lakes, Ellen Cameron, PhD Candidate @WaterlooBio, is using DNA sequencing to study cyanobacteria communities in low-nutrient, clear lakes in Northern Ontario: https://t.co/KHY3TXMQKm #UWaterloo https://t.co/35z6SJ7UBK"
"981","1764","today","48","Date","Given what we know about the #COVID19 pandemic today, we’re preparing for primarily online instruction with limited in-person activities as regulations permit. We’ll continue to revise our plans for a safe and staged return to in-person activities as soon as conditions allow."
"982","1765","2021","8","Date","Spring 2021 term update:
- Spring term will start one week later on May 10
- Instruction will continue primarily online

We’re still confirming details and will share more info on these changes as we get closer to the spring term. Read the full update: https://t.co/fIufXRn7Qf https://t.co/UkDBhKFOlL"
"983","1765","one","51","Date","Spring 2021 term update:
- Spring term will start one week later on May 10
- Instruction will continue primarily online

We’re still confirming details and will share more info on these changes as we get closer to the spring term. Read the full update: https://t.co/fIufXRn7Qf https://t.co/UkDBhKFOlL"
"984","1765","May 10
-","69","Date","Spring 2021 term update:
- Spring term will start one week later on May 10
- Instruction will continue primarily online

We’re still confirming details and will share more info on these changes as we get closer to the spring term. Read the full update: https://t.co/fIufXRn7Qf https://t.co/UkDBhKFOlL"
"985","1765","spring","219","Date","Spring 2021 term update:
- Spring term will start one week later on May 10
- Instruction will continue primarily online

We’re still confirming details and will share more info on these changes as we get closer to the spring term. Read the full update: https://t.co/fIufXRn7Qf https://t.co/UkDBhKFOlL"
"986","1765","Spring","28","Location","Spring 2021 term update:
- Spring term will start one week later on May 10
- Instruction will continue primarily online

We’re still confirming details and will share more info on these changes as we get closer to the spring term. Read the full update: https://t.co/fIufXRn7Qf https://t.co/UkDBhKFOlL"
"987","1766","BA","166","Organization","RT @uwaterlooalumni : Our Humans and Work event is 2 days away! Register to hear from our moderator Liane Davey (MASc ’95, PhD ’99) &amp; panelists, Tania De Mello (BA ’02) &amp; Mikal Skuterud speak on equity and inclusion in Canadian workplaces: https://t.co/YkZrA6u2HA

#UWaterlooAlumni #UWaterloo https://t.co/e0edL0RmbP"
"988","1766","Tania De Mello","150","Person","RT @uwaterlooalumni : Our Humans and Work event is 2 days away! Register to hear from our moderator Liane Davey (MASc ’95, PhD ’99) &amp; panelists, Tania De Mello (BA ’02) &amp; Mikal Skuterud speak on equity and inclusion in Canadian workplaces: https://t.co/YkZrA6u2HA

#UWaterlooAlumni #UWaterloo https://t.co/e0edL0RmbP"
